fortune_rank,company,ticker,n_obs,daily_std,cc_vol,parkinson_vol,gk_vol,rs_vol,yz_vol,ewma_vol,mad_vol,norm_avg_vol,n_measures
163,Apollo Global Management,APO,253,0.026541531280009883,0.421333747090488,0.34588599425237365,0.3363445702462282,0.34526589408884567,0.4437286867453013,0.25226224575681844,0.2791619201799119,0.23643974148280458,7
151,CarMax,KMX,253,0.024298328274235934,0.3857240033294252,0.32140170404733764,0.32425426689604947,0.32550371222432317,0.41890744107018135,0.3318693863840922,0.30231945222150275,0.2339928281925401,7
124,Lithia Motors,LAD,253,0.02360015425628183,0.3746408343893054,0.3329236372281372,0.3292291506192403,0.3304227389139127,0.3971038337762211,0.3441752373788799,0.28852735681145614,0.23107108894167447,7
194,Halliburton,HAL,253,0.025972202153150853,0.41229592738760074,0.3393161468924686,0.2598313312936746,0.3158823734689063,0.43004313287599605,0.34279582593688135,0.2909596449654243,0.23056393373467216,7
108,Best Buy,BBY,253,0.026744509632708628,0.42455592854711055,0.32663269615148294,0.20583146459919605,0.3153920007743433,0.4945934582863657,0.3193322348412357,0.2899042205037885,0.22857843408238201,7
178,Synchrony Financial,SYF,253,0.026730457237514643,0.42433285368906204,0.3296637079215779,0.3114257489983242,0.3222262420676384,0.43648438799019834,0.22747839015939672,0.2913682323472225,0.2254056663055188,7
100,Eli Lilly,LLY,253,0.025315864246544896,0.4018768861261761,0.29481914452076863,0.2887754880545305,0.2879729651229622,0.4053217476009645,0.3944732292478701,0.27908808633040016,0.22133645737285848,7
150,HF Sinclair,DINO,253,0.024759868146303498,0.3930507216592133,0.3615209785598807,0.06657973184404224,0.33915302251959084,0.5210576377129362,0.29141167269503926,0.2998424244000721,0.21648527929930056,7
140,Nucor,NUE,253,0.02537708327491912,0.40284870807367534,0.3128095027118437,0.293537117363273,0.3061446772631842,0.4308115547164348,0.2489288982076831,0.28444919150713693,0.21455628385415024,7
63,Boeing,BA,253,0.02321880902261655,0.36858716647767653,0.3240207147009217,0.32463717895265826,0.3222723427073618,0.3807493015397505,0.2595163958742402,0.28410393648004,0.21250653743836598,7
123,D.R. Horton,DHI,253,0.02308270750057216,0.36642662179535557,0.297841782454825,0.28416433319135037,0.28901109181064755,0.4010642506918843,0.3842328237419648,0.26710563391893866,0.21150674491314195,7
184,Quanta Services,PWR,253,0.02462562096036539,0.39091961364999833,0.32350490651871777,0.3266295923497354,0.3245872834770487,0.42142458014605283,0.2376593567533888,0.2349815961419574,0.20819489045935893,7
20,Elevance Health,ELV,253,0.02354559108460875,0.37377467089136607,0.2922247525126424,0.25893178775576287,0.29043195125986104,0.4270609723774676,0.3801650518037469,0.25165975416651776,0.20797751635571118,7
82,Capital One Financial,COF,253,0.024702053631590934,0.39213294469061727,0.3092784614587844,0.3003930781236489,0.3065095056864714,0.4129073053296624,0.2398719807542384,0.264271999798526,0.20503813678628188,7
34,Valero Energy,VLO,253,0.02365132947074108,0.37545321573380286,0.3206681612711495,0.2441644819263804,0.3105505595224847,0.4120629253504883,0.2547137495755482,0.273156810790489,0.2009844033827783,7
129,Lennar,LEN,253,0.021746845857492886,0.3452204756338882,0.2925428142229825,0.2680817034619474,0.2785877968842762,0.3731680667316476,0.3442037779501479,0.29091888100163266,0.1998244063364401,7
